product_id,product_name,product_detail,company,sector,weight_kg,carbon_footprint,country,year
23195-4-2013,HP Compaq Elite 8300 USDT PC,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",3.1,420.0,USA,2013
23195-5-2013,HP Compaq 8200 Elite SFF Business PC,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",7.6,500.0,USA,2013
23195-6-2013,HP Compaq Elite 8300 MT PC,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",11.2,580.0,USA,2013
23195-7-2013,HP EliteBook Folio 9470m,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",1.61,230.0,USA,2013
23195-8-2013,HP EliteBook 8460p Notebook PC,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",2.25,290.0,USA,2013
23195-9-2013,HP EliteBook 8570w Mobile Workstation,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",3.0,370.0,USA,2013
23634-10-2016,Canvas Wood Lateral,Office Storage,Herman Miller,"Home durables, textiles, & equipment",70.2,54.0,USA,2016
23634-11-2016,Canvas Wood Pedestal 2016,Office Storage,Herman Miller,"Home durables, textiles, & equipment",88.7,77.0,USA,2016
23634-1-2016,Embody Chair,Office Seating,Herman Miller,"Home durables, textiles, & equipment",23.59,98.0,USA,2016
23634-12-2016,Canvas Wood Tower,Office Storage,Herman Miller,"Home durables, textiles, & equipment",107.0,43.0,USA,2016
23634-13-2016,New Aeron Chair,Office Seating,Herman Miller,"Home durables, textiles, & equipment",19.323,87.0,USA,2016
23634-2-2016,Caper Stacking Chair,Office Seating,Herman Miller,"Home durables, textiles, & equipment",9.53,26.0,USA,2016
23634-3-2016,Aeron Chair,Office Seating,Herman Miller,"Home durables, textiles, & equipment",24.95,98.0,USA,2016
23634-4-2016,Mirra 2 Chair,Office Seating,Herman Miller,"Home durables, textiles, & equipment",19.05,105.0,USA,2016
23634-5-2016,"Sayl Work Chair, Suspension Back",Office Seating,Herman Miller,"Home durables, textiles, & equipment",17.24,82.0,USA,2016
23634-6-2016,Setu Multipurpose chair with Lyris 2,Office Seating,Herman Miller,"Home durables, textiles, & equipment",7.71,48.0,USA,2016
23634-7-2016,Celle Chair,Office Seating,Herman Miller,"Home durables, textiles, & equipment",24.95,72.0,USA,2016
23634-8-2016,Aeron Work Stool,Office Seating,Herman Miller,"Home durables, textiles, & equipment",34.93,102.0,USA,2016
23634-9-2016,Canvas Wood Credenza 2016,Office Storage,Herman Miller,"Home durables, textiles, & equipment",99.5,76.0,USA,2016
